基于本体的知识推理.	0
国内外研究学者对基于本体的知识推理的研究成果也较多.	1
Ebrahimipour等	2
[54]	3
构建的本体模型中将基于本体的知识表示方法应用到气动阀的支持维护案例中,	4
克服了非均质性和不一致性的维护记录带来的问题,	5
通过相应的推理方法取得了良好的效果.	6
Samwald	7
等	8
[55]	9
提出了一种	10
web	11
本体语言框架和推理方法来实现对药物基因组知识的表示,	12
组织和推理,	13
从而实现对相关数据的高效利用.	14
Roda	15
[56]	16
将基于本体框架的知识表示方法用于传感数据的智能分析,	17
通过具体的案例分析,	18
表明结合几个知识表示方案可以推断过程变量和表示状态	19
基于案例的知识推理.	20
在基于案例推理系统中,	21
所谓案例就是求解问题的状态及对其求解的策略.	22
一般地,	23
一个案例包含问题的初始状态,	24
问题求解的目标状态以及求解的方案.	25
这种推理方法模拟人类推理活动中	26
“回忆”	27
的认知能力,	28
在问题求解时,	29
可以使用以前求解类似问题的经验	30
(即案例)	31
来进行推理,	32
并为修改或修正以前问题的解法而不断学习.	33
案例推理原理如图	34
4	35
所示,	36
其中案例表示、案例检索和案例调整是案例推理研究的核心问题	37
